광역,시군구,읍면동,투표소,후보자당,ID,선거구,선거인수,투표수,유효투표수,무효표,기권수,후보자,후보자득표,득표율,총득표,순위,차순위득표차,권역,선거인수.비례,유효투표수.비례,비례득표,교차투표,지역구
부산광역시,북구,구포제2동,구포제2동제3투,새누리당,부산광역시-북구강서구갑_박민식,북구강서구갑,3663,2062,2037,25,1601,박민식,839,0.4118802160039273,38527,2,,영남,3663.0,2007.0,799.0,40.0,북구강서구갑(부산광역시)
부산광역시,북구,구포제2동,구포제2동제4투,더불어민주당,부산광역시-북구강서구갑_전재수,북구강서구갑,3533,1942,1907,35,1591,전재수,1065,0.5584687991609858,48887,1,223.0,영남,3533.0,1851.0,629.0,436.0,북구강서구갑(부산광역시)
부산광역시,북구,구포제2동,구포제2동제4투,새누리당,부산광역시-북구강서구갑_박민식,북구강서구갑,3533,1942,1907,35,1591,박민식,842,0.4415312008390141,38527,2,,영남,3533.0,1851.0,778.0,64.0,북구강서구갑(부산광역시)
부산광역시,북구,구포제2동,구포제2동제5투,더불어민주당,부산광역시-북구강서구갑_전재수,북구강서구갑,3855,2594,2568,26,1261,전재수,1468,0.5716510903426791,48887,1,368.0,영남,3855.0,2539.0,828.0,640.0,북구강서구갑(부산광역시)
부산광역시,북구,구포제2동,구포제2동제5투,새누리당,부산광역시-북구강서구갑_박민식,북구강서구갑,3855,2594,2568,26,1261,박민식,1100,0.4283489096573208,38527,2,,영남,3855.0,2539.0,1026.0,74.0,북구강서구갑(부산광역시)
부산광역시,북구,구포제2동,구포제2동제6투,더불어민주당,부산광역시-북구강서구갑_전재수,북구강서구갑,1733,776,765,11,957,전재수,385,0.5032679738562091,48887,1,5.0,영남,1733.0,753.0,223.0,162.0,북구강서구갑(부산광역시)
부산광역시,북구,구포제2동,구포제2동제6투,새누리당,부산광역시-북구강서구갑_박민식,북구강서구갑,1733,776,765,11,957,박민식,380,0.4967320261437908,38527,2,,영남,1733.0,753.0,370.0,10.0,북구강서구갑(부산광역시)
부산광역시,북구,구포제2동,구포제2동제7투,더불어민주당,부산광역시-북구강서구갑_전재수,북구강서구갑,2552,1681,1668,13,871,전재수,1004,0.6019184652278178,48887,1,340.0,영남,2552.0,1642.0,617.0,387.0,북구강서구갑(부산광역시)
부산광역시,북구,구포제2동,구포제2동제7투,새누리당,부산광역시-북구강서구갑_박민식,북구강서구갑,2552,1681,1668,13,871,박민식,664,0.3980815347721823,38527,2,,영남,2552.0,1642.0,569.0,95.0,북구강서구갑(부산광역시)
부산광역시,북구,구포제3동,관내사전투표,더불어민주당,부산광역시-북구강서구갑_전재수,북구강서구갑,1459,1459,1448,11,0,전재수,829,0.5725138121546961,48887,1,210.0,영남,1459.0,1410.0,477.0,352.0,북구강서구갑(부산광역시)
부산광역시,북구,구포제3동,관내사전투표,새누리당,부산광역시-북구강서구갑_박민식,북구강서구갑,1459,1459,1448,11,0,박민식,619,0.4274861878453038,38527,2,-206.0,영남,1459.0,1410.0,580.0,39.0,북구강서구갑(부산광역시)
부산광역시,북구,구포제3동,구포제3동제1투,더불어민주당,부산광역시-북구강서구갑_전재수,북구강서구갑,2917,1392,1379,13,1525,전재수,733,0.5315445975344453,48887,1,87.0,영남,2917.0,1321.0,394.0,339.0,북구강서구갑(부산광역시)
부산광역시,북구,구포제3동,구포제3동제1투,새누리당,부산광역시-북구강서구갑_박민식,북구강서구갑,2917,1392,1379,13,1525,박민식,646,0.4684554024655547,38527,2,,영남,2917.0,1321.0,582.0,64.0,북구강서구갑(부산광역시)
부산광역시,북구,구포제3동,구포제3동제2투,더불어민주당,부산광역시-북구강서구갑_전재수,북구강서구갑,2846,1370,1350,20,1476,전재수,726,0.5377777777777778,48887,1,102.0,영남,2846.0,1329.0,430.0,296.0,북구강서구갑(부산광역시)
부산광역시,북구,구포제3동,구포제3동제2투,새누리당,부산광역시-북구강서구갑_박민식,북구강서구갑,2846,1370,1350,20,1476,박민식,624,0.4622222222222222,38527,2,,영남,2846.0,1329.0,560.0,64.0,북구강서구갑(부산광역시)
부산광역시,북구,구포제3동,구포제3동제3투,더불어민주당,부산광역시-북구강서구갑_전재수,북구강서구갑,3131,1573,1542,31,1558,전재수,891,0.5778210116731517,48887,1,240.0,영남,3131.0,1486.0,531.0,360.0,북구강서구갑(부산광역시)
부산광역시,북구,구포제3동,구포제3동제3투,새누리당,부산광역시-북구강서구갑_박민식,북구강서구갑,3131,1573,1542,31,1558,박민식,651,0.4221789883268482,38527,2,,영남,3131.0,1486.0,573.0,78.0,북구강서구갑(부산광역시)
부산광역시,북구,구포제3동,구포제3동제4투,더불어민주당,부산광역시-북구강서구갑_전재수,북구강서구갑,3053,1771,1757,14,1282,전재수,1022,0.5816733067729084,48887,1,287.0,영남,3053.0,1709.0,602.0,420.0,북구강서구갑(부산광역시)
부산광역시,북구,구포제3동,구포제3동제4투,새누리당,부산광역시-북구강서구갑_박민식,북구강서구갑,3053,1771,1757,14,1282,박민식,735,0.4183266932270916,38527,2,,영남,3053.0,1709.0,652.0,83.0,북구강서구갑(부산광역시)
부산광역시,북구,구포제3동,구포제3동제5투,더불어민주당,부산광역시-북구강서구갑_전재수,북구강서구갑,2684,1298,1290,8,1386,전재수,665,0.5155038759689923,48887,1,40.0,영남,2684.0,1268.0,398.0,267.0,북구강서구갑(부산광역시)
부산광역시,북구,구포제3동,구포제3동제5투,새누리당,부산광역시-북구강서구갑_박민식,북구강서구갑,2684,1298,1290,8,1386,박민식,625,0.4844961240310077,38527,2,,영남,2684.0,1268.0,561.0,64.0,북구강서구갑(부산광역시)
부산광역시,북구,구포제3동,구포제3동제6투,더불어민주당,부산광역시-북구강서구갑_전재수,북구강서구갑,3417,1707,1688,19,1710,전재수,962,0.5699052132701422,48887,1,236.0,영남,3417.0,1656.0,569.0,393.0,북구강서구갑(부산광역시)
부산광역시,북구,구포제3동,구포제3동제6투,새누리당,부산광역시-북구강서구갑_박민식,북구강서구갑,3417,1707,1688,19,1710,박민식,726,0.4300947867298578,38527,2,,영남,3417.0,1656.0,670.0,56.0,북구강서구갑(부산광역시)
부산광역시,북구,덕천제1동,관내사전투표,더불어민주당,부산광역시-북구강서구갑_전재수,북구강서구갑,1003,1003,990,13,0,전재수,511,0.5161616161616162,48887,1,32.0,영남,1003.0,971.0,306.0,205.0,북구강서구갑(부산광역시)
부산광역시,북구,덕천제1동,관내사전투표,새누리당,부산광역시-북구강서구갑_박민식,북구강서구갑,1003,1003,990,13,0,박민식,479,0.4838383838383838,38527,2,-350.0,영남,1003.0,971.0,428.0,51.0,북구강서구갑(부산광역시)
부산광역시,북구,덕천제1동,덕천제1동제1투,더불어민주당,부산광역시-북구강서구갑_전재수,북구강서구갑,3621,2198,2163,35,1423,전재수,1177,0.5441516412390199,48887,1,191.0,영남,3621.0,2121.0,652.0,525.0,북구강서구갑(부산광역시)
부산광역시,북구,덕천제1동,덕천제1동제1투,새누리당,부산광역시-북구강서구갑_박민식,북구강서구갑,3621,2198,2163,35,1423,박민식,986,0.4558483587609801,38527,2,,영남,3621.0,2121.0,878.0,108.0,북구강서구갑(부산광역시)
부산광역시,북구,덕천제1동,덕천제1동제2투,더불어민주당,부산광역시-북구강서구갑_전재수,북구강서구갑,3142,1648,1617,31,1494,전재수,874,0.5405071119356833,48887,1,131.0,영남,3142.0,1574.0,485.0,389.0,북구강서구갑(부산광역시)
부산광역시,북구,덕천제1동,덕천제1동제2투,새누리당,부산광역시-북구강서구갑_박민식,북구강서구갑,3142,1648,1617,31,1494,박민식,743,0.4594928880643166,38527,2,,영남,3142.0,1574.0,684.0,59.0,북구강서구갑(부산광역시)
부산광역시,북구,덕천제1동,덕천제1동제3투,더불어민주당,부산광역시-북구강서구갑_전재수,북구강서구갑,2393,1236,1213,23,1157,전재수,681,0.5614179719703215,48887,1,149.0,영남,2393.0,1193.0,367.0,314.0,북구강서구갑(부산광역시)
부산광역시,북구,덕천제1동,덕천제1동제3투,새누리당,부산광역시-북구강서구갑_박민식,북구강서구갑,2393,1236,1213,23,1157,박민식,532,0.4385820280296785,38527,2,,영남,2393.0,1193.0,505.0,27.0,북구강서구갑(부산광역시)
부산광역시,북구,덕천제1동,덕천제1동제4투,더불어민주당,부산광역시-북구강서구갑_전재수,북구강서구갑,3534,1856,1838,18,1678,전재수,808,0.4396082698585419,48887,1,-222.0,영남,3534.0,1782.0,470.0,338.0,북구강서구갑(부산광역시)
부산광역시,북구,덕천제1동,덕천제1동제4투,새누리당,부산광역시-북구강서구갑_박민식,북구강서구갑,3534,1856,1838,18,1678,박민식,1030,0.5603917301414582,38527,2,,영남,3534.0,1782.0,882.0,148.0,북구강서구갑(부산광역시)
부산광역시,북구,덕천제2동,관내사전투표,더불어민주당,부산광역시-북구강서구갑_전재수,북구강서구갑,909,909,903,6,0,전재수,595,0.6589147286821705,48887,1,287.0,영남,909.0,888.0,363.0,232.0,북구강서구갑(부산광역시)
부산광역시,북구,덕천제2동,관내사전투표,새누리당,부산광역시-북구강서구갑_박민식,북구강서구갑,909,909,903,6,0,박민식,308,0.3410852713178294,38527,2,-203.0,영남,909.0,888.0,299.0,9.0,북구강서구갑(부산광역시)
부산광역시,북구,덕천제2동,덕천제2동제1투,더불어민주당,부산광역시-북구강서구갑_전재수,북구강서구갑,2645,1313,1294,19,1332,전재수,675,0.5216383307573416,48887,1,56.0,영남,2645.0,1264.0,356.0,319.0,북구강서구갑(부산광역시)
부산광역시,북구,덕천제2동,덕천제2동제1투,새누리당,부산광역시-북구강서구갑_박민식,북구강서구갑,2645,1313,1294,19,1332,박민식,619,0.4783616692426584,38527,2,,영남,2645.0,1264.0,569.0,50.0,북구강서구갑(부산광역시)
부산광역시,북구,덕천제2동,덕천제2동제2투,더불어민주당,부산광역시-북구강서구갑_전재수,북구강서구갑,2660,1276,1254,22,1384,전재수,683,0.5446570972886763,48887,1,112.0,영남,2660.0,1225.0,394.0,289.0,북구강서구갑(부산광역시)
부산광역시,북구,덕천제2동,덕천제2동제2투,새누리당,부산광역시-북구강서구갑_박민식,북구강서구갑,2660,1276,1254,22,1384,박민식,571,0.4553429027113237,38527,2,,영남,2660.0,1225.0,519.0,52.0,북구강서구갑(부산광역시)
부산광역시,북구,덕천제2동,덕천제2동제3투,더불어민주당,부산광역시-북구강서구갑_전재수,북구강서구갑,2916,1577,1548,29,1339,전재수,869,0.5613695090439277,48887,1,190.0,영남,2916.0,1529.0,516.0,353.0,북구강서구갑(부산광역시)
부산광역시,북구,덕천제2동,덕천제2동제3투,새누리당,부산광역시-북구강서구갑_박민식,북구강서구갑,2916,1577,1548,29,1339,박민식,679,0.4386304909560723,38527,2,,영남,2916.0,1529.0,613.0,66.0,북구강서구갑(부산광역시)
부산광역시,북구,덕천제2동,덕천제2동제4투,더불어민주당,부산광역시-북구강서구갑_전재수,북구강서구갑,2468,1321,1304,17,1147,전재수,674,0.5168711656441718,48887,1,44.0,영남,2468.0,1286.0,349.0,325.0,북구강서구갑(부산광역시)
부산광역시,북구,덕천제2동,덕천제2동제4투,새누리당,부산광역시-북구강서구갑_박민식,북구강서구갑,2468,1321,1304,17,1147,박민식,630,0.4831288343558282,38527,2,,영남,2468.0,1286.0,617.0,13.0,북구강서구갑(부산광역시)
부산광역시,북구,덕천제3동,관내사전투표,더불어민주당,부산광역시-북구강서구갑_전재수,북구강서구갑,1059,1059,1039,20,0,전재수,533,0.5129932627526468,48887,1,27.0,영남,1059.0,1018.0,289.0,244.0,북구강서구갑(부산광역시)
부산광역시,북구,덕천제3동,관내사전투표,새누리당,부산광역시-북구강서구갑_박민식,북구강서구갑,1059,1059,1039,20,0,박민식,506,0.4870067372473532,38527,2,-89.0,영남,1059.0,1018.0,436.0,70.0,북구강서구갑(부산광역시)
부산광역시,북구,덕천제3동,덕천제3동제1투,더불어민주당,부산광역시-북구강서구갑_전재수,북구강서구갑,1805,990,982,8,815,전재수,589,0.59979633401222,48887,1,196.0,영남,1805.0,959.0,299.0,290.0,북구강서구갑(부산광역시)
부산광역시,북구,덕천제3동,덕천제3동제1투,새누리당,부산광역시-북구강서구갑_박민식,북구강서구갑,1805,990,982,8,815,박민식,393,0.40020366598778,38527,2,,영남,1805.0,959.0,332.0,61.0,북구강서구갑(부산광역시)
부산광역시,북구,덕천제3동,덕천제3동제2투,더불어민주당,부산광역시-북구강서구갑_전재수,북구강서구갑,2956,1558,1536,22,1398,전재수,786,0.51171875,48887,1,36.0,영남,2956.0,1497.0,442.0,344.0,북구강서구갑(부산광역시)
부산광역시,북구,덕천제3동,덕천제3동제2투,새누리당,부산광역시-북구강서구갑_박민식,북구강서구갑,2956,1558,1536,22,1398,박민식,750,0.48828125,38527,2,,영남,2956.0,1497.0,679.0,71.0,북구강서구갑(부산광역시)
부산광역시,북구,덕천제3동,덕천제3동제3투,더불어민주당,부산광역시-북구강서구갑_전재수,북구강서구갑,2594,1353,1332,21,1241,전재수,677,0.5082582582582582,48887,1,22.0,영남,2594.0,1293.0,390.0,287.0,북구강서구갑(부산광역시)
부산광역시,북구,덕천제3동,덕천제3동제3투,새누리당,부산광역시-북구강서구갑_박민식,북구강서구갑,2594,1353,1332,21,1241,박민식,655,0.4917417417417417,38527,2,,영남,2594.0,1293.0,597.0,58.0,북구강서구갑(부산광역시)
부산광역시,북구,덕천제3동,덕천제3동제4투,더불어민주당,부산광역시-북구강서구갑_전재수,북구강서구갑,2110,1050,1029,21,1060,전재수,426,0.4139941690962099,48887,1,-177.0,영남,2110.0,978.0,232.0,194.0,북구강서구갑(부산광역시)
부산광역시,북구,덕천제3동,덕천제3동제4투,새누리당,부산광역시-북구강서구갑_박민식,북구강서구갑,2110,1050,1029,21,1060,박민식,603,0.5860058309037901,38527,2,,영남,2110.0,978.0,536.0,67.0,북구강서구갑(부산광역시)
부산광역시,북구,만덕제1동,관내사전투표,더불어민주당,부산광역시-북구강서구갑_전재수,북구강서구갑,879,879,872,7,0,전재수,538,0.6169724770642202,48887,1,204.0,영남,879.0,861.0,296.0,242.0,북구강서구갑(부산광역시)
부산광역시,북구,만덕제1동,관내사전투표,새누리당,부산광역시-북구강서구갑_박민식,북구강서구갑,879,879,872,7,0,박민식,334,0.3830275229357798,38527,2,-199.0,영남,879.0,861.0,339.0,-5.0,북구강서구갑(부산광역시)
부산광역시,북구,만덕제1동,만덕제1동제1투,더불어민주당,부산광역시-북구강서구갑_전재수,북구강서구갑,2184,1272,1266,6,912,전재수,741,0.5853080568720379,48887,1,216.0,영남,2184.0,1228.0,397.0,344.0,북구강서구갑(부산광역시)
부산광역시,북구,만덕제1동,만덕제1동제1투,새누리당,부산광역시-북구강서구갑_박민식,북구강서구갑,2184,1272,1266,6,912,박민식,525,0.4146919431279621,38527,2,,영남,2184.0,1228.0,517.0,8.0,북구강서구갑(부산광역시)
부산광역시,북구,만덕제1동,만덕제1동제2투,더불어민주당,부산광역시-북구강서구갑_전재수,북구강서구갑,2656,1576,1560,16,1080,전재수,924,0.5923076923076923,48887,1,288.0,영남,2656.0,1527.0,492.0,432.0,북구강서구갑(부산광역시)
부산광역시,북구,만덕제1동,만덕제1동제2투,새누리당,부산광역시-북구강서구갑_박민식,북구강서구갑,2656,1576,1560,16,1080,박민식,636,0.4076923076923077,38527,2,,영남,2656.0,1527.0,633.0,3.0,북구강서구갑(부산광역시)
부산광역시,북구,만덕제1동,만덕제1동제3투,더불어민주당,부산광역시-북구강서구갑_전재수,북구강서구갑,2595,1551,1538,13,1044,전재수,812,0.5279583875162549,48887,1,86.0,영남,2595.0,1495.0,450.0,362.0,북구강서구갑(부산광역시)
부산광역시,북구,만덕제1동,만덕제1동제3투,새누리당,부산광역시-북구강서구갑_박민식,북구강서구갑,2595,1551,1538,13,1044,박민식,726,0.4720416124837451,38527,2,,영남,2595.0,1495.0,649.0,77.0,북구강서구갑(부산광역시)
부산광역시,북구,만덕제2동,관내사전투표,더불어민주당,부산광역시-북구강서구갑_전재수,북구강서구갑,2198,2198,2180,18,0,전재수,1238,0.5678899082568807,48887,1,296.0,영남,2198.0,2152.0,722.0,516.0,북구강서구갑(부산광역시)
부산광역시,북구,만덕제2동,관내사전투표,새누리당,부산광역시-북구강서구갑_박민식,북구강서구갑,2198,2198,2180,18,0,박민식,942,0.4321100917431192,38527,2,404.0,영남,2198.0,2152.0,847.0,95.0,북구강서구갑(부산광역시)
부산광역시,북구,만덕제2동,만덕제2동제1투,더불어민주당,부산광역시-북구강서구갑_전재수,북구강서구갑,2391,1336,1315,21,1055,전재수,709,0.5391634980988593,48887,1,103.0,영남,2391.0,1286.0,368.0,341.0,북구강서구갑(부산광역시)
부산광역시,북구,만덕제2동,만덕제2동제1투,새누리당,부산광역시-북구강서구갑_박민식,북구강서구갑,2391,1336,1315,21,1055,박민식,606,0.4608365019011406,38527,2,,영남,2391.0,1286.0,594.0,12.0,북구강서구갑(부산광역시)
부산광역시,북구,만덕제2동,만덕제2동제2투,더불어민주당,부산광역시-북구강서구갑_전재수,북구강서구갑,2206,1150,1138,12,1056,전재수,607,0.5333919156414763,48887,1,76.0,영남,2206.0,1109.0,341.0,266.0,북구강서구갑(부산광역시)
부산광역시,북구,만덕제2동,만덕제2동제2투,새누리당,부산광역시-북구강서구갑_박민식,북구강서구갑,2206,1150,1138,12,1056,박민식,531,0.4666080843585237,38527,2,,영남,2206.0,1109.0,483.0,48.0,북구강서구갑(부산광역시)
부산광역시,북구,만덕제2동,만덕제2동제3투,더불어민주당,부산광역시-북구강서구갑_전재수,북구강서구갑,3064,1703,1681,22,1361,전재수,964,0.5734681737061273,48887,1,247.0,영남,3064.0,1642.0,525.0,439.0,북구강서구갑(부산광역시)
부산광역시,북구,만덕제2동,만덕제2동제3투,새누리당,부산광역시-북구강서구갑_박민식,북구강서구갑,3064,1703,1681,22,1361,박민식,717,0.4265318262938727,38527,2,,영남,3064.0,1642.0,659.0,58.0,북구강서구갑(부산광역시)
부산광역시,북구,만덕제2동,만덕제2동제4투,더불어민주당,부산광역시-북구강서구갑_전재수,북구강서구갑,2540,1504,1486,18,1036,전재수,778,0.5235531628532974,48887,1,70.0,영남,2540.0,1456.0,413.0,365.0,북구강서구갑(부산광역시)
