election,year,district,candidate,party,votes,vote_share_pct,elected
20th_NA,2016,북구·강서구갑,전재수,더불어민주당,48887,55.92,Y
20th_NA,2016,북구·강서구갑,박민식,새누리당,38527,44.07,N
21st_NA,2020,북구·강서구갑,전재수,더불어민주당,48733,50.58,Y
21st_NA,2020,북구·강서구갑,박민식,미래통합당,46795,48.57,N
21st_NA,2020,북구·강서구갑,이성근,국가혁명배당금당,806,0.83,N
22nd_NA,2024,북구갑,전재수,더불어민주당,43548,52.31,Y
22nd_NA,2024,북구갑,서병수,국민의힘,38850,46.67,N
22nd_NA,2024,북구갑,배기석,개혁신당,836,1.00,N
